# banked: 2026-07-27T14:29:59Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "deepseek/deepseek-v4-flash",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/P2-cand-flash/sim",  "timeout_s": 1500,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v1-qm.session.jsonl ===
  turns=79  wall=961.3s  in=816098  out=46925  cache_read=4429440  cost=$0.1684
  role reads: shipshape@t0 -> qm@t0 -> shipshape@t1 -> crew@t1 -> boatswain@t1
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 8, 11, 12, 34, 35, 36, 37, 38, 39, 44, 45, 49, 55, 60, 69] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2319/207        0 $0.0003  read, read
    t1   16381/313        0 $0.0016  read, read, read
    t2   30106/245        0 $0.0029  bash
    t3   30398/133        0 $0.0029  bash
    t4     668/457    30208 $0.0007  read, read, read
    t5    1694/977    30720 $0.0009  bash
    t6   33453/217        0 $0.0032  read, read, read
    t7    2976/821    33280 $0.0011  bash
    t8   37277/1756       0 $0.0038  bash
    t9   38681/100      512 $0.0037  read
    t10   2500/813    39168 $0.0011  bash
    t11  42215/611      640 $0.0041  bash
    t12   2220/151    41472 $0.0010  bash
    t13    387/503    43520 $0.0009  bash
    t14    687/136    43776 $0.0009  bash
    t15    330/1167   44288 $0.0011  write
    t16   1288/116    44544 $0.0010  bash
    t17    275/551    45824 $0.0010  bash
    t18  46663/4097       0 $0.0051  write
    t19   4745/121    46080 $0.0013  bash
    t20   4925/4097   46080 $0.0021  write
    t21   4221/1498   50944 $0.0016  bash
    t22  56690/2474       0 $0.0058  bash
    t23  59185/1449       0 $0.0058  bash
    t24  10474/317    50176 $0.0020  bash
    t25   5940/206    55040 $0.0016  bash
    t26    361/873    60928 $0.0013  bash
    t27    998/232    61184 $0.0013  bash
    t28    475/123    61952 $0.0012  bash
    t29   2989/176    60416 $0.0014  read
    t30   1756/864    62208 $0.0015  edit
    t31   1137/111    63744 $0.0013  bash
    t32  64553/354      512 $0.0061  bash
    t33    848/330    64768 $0.0014  bash
    t34  23501/178    43392 $0.0031  bash
    t35   1554/112    65536 $0.0014  bash
    t36    260/182    67072 $0.0013  bash
    t37    221/195    67328 $0.0013  bash
    t38    429/195    67328 $0.0013  bash
    t39    708/335    67584 $0.0014  bash
    t40   1107/3273   68096 $0.0020  write
    t41  72253/361      256 $0.0068  read
    t42  10660/406    62464 $0.0022  edit
    t43   4463/126    69120 $0.0017  bash
    t44    558/133    73472 $0.0015  bash
    t45   1479/111    72704 $0.0015  bash
    t46    977/1814   73984 $0.0018  edit
    t47   9881/185    66944 $0.0022  read
    t48    283/485    76928 $0.0016  edit
    t49   3004/398    74752 $0.0018  edit
    t50    496/145    77696 $0.0015  bash
    t51     15/386    78336 $0.0015  edit
    t52   1241/137    77568 $0.0016  read
    t53   9562/467    69632 $0.0023  edit
    t54    980/107    78720 $0.0016  bash
    t55    256/842    79744 $0.0017  bash
    t56  22702/1124   58368 $0.0034  edit
    t57   8507/108    73728 $0.0022  bash
    t58   3943/693    78592 $0.0020  bash
    t59   1334/270    82432 $0.0017  bash
    t60    378/279    83712 $0.0017  bash
    t61   2575/701    81920 $0.0019  bash
    t62   1386/991    83968 $0.0019  edit
    t63   1150/108    85248 $0.0017  bash
    t64    310/820    86272 $0.0018  bash
    t65    943/275    86528 $0.0018  bash
    t66   1426/588    87296 $0.0019  bash
    t67    807/331    88576 $0.0018  bash
    t68   8959/266    80768 $0.0024  bash
    t69    116/331    89984 $0.0018  bash
    t70    232/344    90368 $0.0018  read
    t71    145/471    90880 $0.0018  edit
    t72   7610/323    83968 $0.0023  bash
    t73   2595/146    89344 $0.0019  bash
    t74   1025/291    91136 $0.0019  bash
    t75    567/217    91904 $0.0018  bash
    t76  92702/389        0 $0.0088  bash
    t77   1894/117    91392 $0.0019  bash
    t78   1089/573    92416 $0.0019  -
