# banked: 2026-07-27T17:15:06Z
# leg: {  "name": "v3-captain",  "model": "tencent/hy3",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/P5-cand-hy3/sim",  "timeout_s": 3600,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/captain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v3-captain.session.jsonl ===
  turns=21  wall=779.8s  in=105138  out=52173  cache_read=763728  cost=$0.0717
  role reads: (no role SKILL.md read)
  roles loaded: NONE
  per-turn (turn: in/out/cache $cost  tools):
    t0    5879/257        0 $0.0010  bash, read
    t1    1210/201     5632 $0.0005  read, read, read, read
    t2    2091/220     6656 $0.0007  bash
    t3    1168/252     8576 $0.0006  read, read, read, read
    t4    1171/192     9600 $0.0006  read, read, read
    t5   16469/1999       0 $0.0035  read, read
    t6    6132/9210   16384 $0.0068  bash
    t7   32034/601        0 $0.0048  bash
    t8     830/468    32048 $0.0015  write
    t9     392/50     32992 $0.0012  bash
    t10     64/9077   33408 $0.0064  bash
    t11   9005/22800  33504 $0.0157  write
    t12  22551/222    42512 $0.0048  bash
    t13    762/482    65072 $0.0027  bash
    t14    472/808    65920 $0.0028  bash
    t15    780/342    66448 $0.0026  bash
    t16    272/1875   67376 $0.0035  edit, edit
    t17   1826/116    67760 $0.0027  bash
    t18    139/404    69680 $0.0027  bash
    t19    390/1431   69872 $0.0033  bash
    t20   1501/1166   70288 $0.0033  -
