# banked: 2026-07-28T08:19:54Z
# verdict: PENDING
# leg: {  "name": "v4-qm",  "model": "deepseek/deepseek-v4-flash",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/P5-ctrl-cflash/sim",  "timeout_s": 3600,  "skills": [    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/shipshape",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/qm",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/crew",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v4-qm.session.jsonl ===
  turns=51  wall=328.1s  in=240349  out=16519  cache_read=2417920  cost=$0.0710
  role reads: shipshape@t0 -> qm@t0 -> crew@t13 -> boatswain@t37
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [5, 16, 21, 22, 26, 28, 29, 42] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    1625/217     1024 $0.0002  read, read
    t1   14269/247     2560 $0.0014  bash
    t2    1311/431    16640 $0.0005  read, read, bash, bash
    t3    2472/209    17920 $0.0006  read, read, read
    t4   29197/782     1024 $0.0029  bash
    t5   10886/171    20224 $0.0014  bash
    t6     585/177    30976 $0.0007  read
    t7     321/469    31488 $0.0007  edit
    t8     585/129    31744 $0.0007  bash
    t9   32694/90         0 $0.0031  read
    t10    847/201    32256 $0.0007  bash
    t11    380/102    33024 $0.0007  bash
    t12    308/391    33280 $0.0007  bash
    t13  34362/155        0 $0.0033  read
    t14   2612/1733   33536 $0.0012  bash
    t15   1898/1140   36096 $0.0011  edit
    t16   1237/186    37888 $0.0009  edit
    t17    445/115    38912 $0.0008  bash
    t18  38507/159     1024 $0.0037  bash
    t19   1202/145    38912 $0.0009  bash
    t20    376/153    39936 $0.0008  bash
    t21    645/381    39936 $0.0009  bash
    t22   1135/142    39936 $0.0009  bash
    t23    471/454    40960 $0.0009  edit
    t24    976/153    40960 $0.0009  bash
    t25   1335/1187   40960 $0.0011  edit
    t26   1545/355    41984 $0.0010  edit
    t27    923/118    43008 $0.0009  bash
    t28   1133/202    43008 $0.0010  bash
    t29    459/287    44032 $0.0009  bash, bash
    t30  17405/271    44032 $0.0025  bash
    t31   1383/448    60416 $0.0013  bash
    t32   1290/121    61440 $0.0013  bash
    t33    526/289    62464 $0.0013  edit
    t34    862/156    62464 $0.0013  bash
    t35   1103/154    62464 $0.0013  bash
    t36    282/160    63488 $0.0012  bash
    t37   1323/138    63488 $0.0013  read
    t38   4302/349    64512 $0.0017  bash
    t39   2784/309    68608 $0.0016  bash
    t40  16110/443    70656 $0.0029  bash
    t41   1239/163    86016 $0.0018  bash
    t42    391/200    87040 $0.0017  bash
    t43    709/957    87040 $0.0019  bash
    t44   1750/295    87040 $0.0019  bash
    t45   1034/166    88064 $0.0018  bash
    t46    236/118    89088 $0.0017  bash
    t47    367/113    89088 $0.0017  bash
    t48    567/266    89088 $0.0018  bash
    t49    904/92     89088 $0.0018  bash
    t50   1041/630    89088 $0.0019  -
