# banked: 2026-07-31T16:49:20Z
# verdict: PENDING
# leg: {  "name": "v1",  "model": "deepseek/deepseek-v4-flash",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/R13-control-flash/sim",  "timeout_s": 3600,  "max_tokens": 32768,  "skills": [    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/shipshape",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/captain",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/qm",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/crew",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v1.session.jsonl ===
  turns=39  wall=273.7s  in=88602  out=24367  cache_read=1638400  cost=$0.0436
  role reads: shipshape@t0 -> captain@t0 -> qm@t4 -> crew@t4
  roles loaded: captain, crew, qm, shipshape
  ~ repeated tool signature at turns [2, 3, 14, 17, 18, 24, 27, 33] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2382/297        0 $0.0003  read, read, read, read
    t1   20992/354        0 $0.0020  bash, bash, bash
    t2    1253/344    20480 $0.0006  read, read, read, bash, bash
    t3    2179/297    20736 $0.0006  bash, read, bash, bash
    t4    1861/1232   22784 $0.0008  read, read
    t5    6258/417    24576 $0.0011  bash
    t6     545/2746   30720 $0.0011  write, write, write
    t7    5465/1934   28672 $0.0014  write
    t8    3350/3170   32768 $0.0015  write
    t9    3241/611    36096 $0.0011  write
    t10   3128/151    36864 $0.0010  bash
    t11   1303/178    39168 $0.0009  read
    t12   1183/524    39936 $0.0010  edit
    t13    733/132    40960 $0.0009  bash
    t14    451/228    41472 $0.0009  bash
    t15    727/599    41728 $0.0010  edit
    t16   2657/198    40448 $0.0010  bash
    t17   1228/244    42240 $0.0010  bash
    t18    640/300    43264 $0.0009  bash
    t19   1110/1313   43776 $0.0012  edit
    t20   5289/1085   40960 $0.0015  read
    t21   3065/389    45056 $0.0012  edit
    t22   2476/713    46080 $0.0012  edit
    t23    934/1704   48384 $0.0013  edit
    t24   1916/1023   49152 $0.0013  edit
    t25   2985/751    49152 $0.0013  edit
    t26    969/181    51968 $0.0011  bash
    t27    506/153    52736 $0.0011  bash
    t28    493/670    52992 $0.0012  read
    t29   1410/232    53248 $0.0012  edit
    t30   2983/619    54528 $0.0014  write
    t31    831/153    57344 $0.0012  bash
    t32    307/263    58112 $0.0012  bash, bash
    t33    416/103    58368 $0.0012  bash
    t34   1581/194    57344 $0.0013  edit
    t35    545/126    58624 $0.0012  bash
    t36    506/193    58880 $0.0012  bash
    t37    542/92     59136 $0.0012  bash
    t38    162/454    59648 $0.0012  -
