# banked: 2026-07-28T15:57:15Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "deepseek/deepseek-v4-flash",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/R3-cand-flash/sim",  "timeout_s": 3600,  "max_tokens": 32768,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v1-qm.session.jsonl ===
  turns=51  wall=382.4s  in=282789  out=34014  cache_read=2572288  cost=$0.0812
  role reads: shipshape@t0 -> qm@t0 -> shipshape@t7 -> captain@t8 -> crew@t22 -> boatswain@t39
  roles loaded: boatswain, captain, crew, qm, shipshape
  ~ repeated tool signature at turns [4, 8, 12, 20, 24, 31, 34, 44] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2319/197        0 $0.0003  read, read
    t1   16387/220        0 $0.0016  bash
    t2   16638/350        0 $0.0016  bash
    t3     934/366    16384 $0.0005  bash, bash, bash, bash
    t4   18426/291        0 $0.0018  read, bash, bash, read
    t5   22910/435        0 $0.0022  read, bash, bash, bash
    t6    8425/372    16384 $0.0012  bash, bash, bash
    t7    9024/1232   16384 $0.0014  read, read, read
    t8   17211/805    20480 $0.0021  read
    t9   13985/90     24576 $0.0018  bash
    t10    451/661    38400 $0.0009  bash, bash
    t11   1978/392    37632 $0.0010  bash, bash
    t12   3206/147    36864 $0.0010  bash
    t13   1962/239    38656 $0.0010  read
    t14   2726/1284   39424 $0.0012  bash
    t15   4273/4096   40448 $0.0019  write
    t16   7923/118    40960 $0.0015  read
    t17   5145/174    45056 $0.0014  bash
    t18   9465/3337   40960 $0.0023  write
    t19  12852/1126   40960 $0.0022  edit
    t20   5837/284    49152 $0.0015  edit
    t21   2076/286    53248 $0.0012  bash
    t22   2623/274    53248 $0.0013  read
    t23   4555/603    53248 $0.0015  bash
    t24   5217/266    53248 $0.0015  bash
    t25    397/192    58368 $0.0012  bash, bash
    t26   1722/451    57600 $0.0013  bash
    t27    651/503    59136 $0.0013  write
    t28   2990/96     57344 $0.0014  write
    t29    315/2210   60160 $0.0016  write
    t30   2315/135    60416 $0.0014  bash
    t31   1510/157    61440 $0.0013  bash
    t32   6488/4023   57344 $0.0024  edit
    t33   6479/117    61440 $0.0018  read
    t34   7219/119    61440 $0.0019  read
    t35   4164/1420   67840 $0.0019  edit
    t36   1539/118    71936 $0.0015  bash
    t37   4177/820    69632 $0.0019  edit
    t38  13240/475    61440 $0.0025  bash
    t39   1506/514    73728 $0.0016  read
    t40   5036/1045   73728 $0.0021  write
    t41   1263/1463   78592 $0.0019  edit
    t42   7637/107    73728 $0.0021  bash
    t43    364/226    81152 $0.0016  bash, bash
    t44   2238/261    79616 $0.0018  bash
    t45   5439/267    77824 $0.0020  bash
    t46   5791/349    77824 $0.0021  bash, bash, bash
    t47    606/154    83456 $0.0017  bash
    t48   1089/589    83200 $0.0018  bash
    t49    759/132    84224 $0.0017  bash
    t50   1307/426    83968 $0.0018  -
