# banked: 2026-07-29T00:49:03Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "tencent/hy3",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/R6-cand-hy3/sim",  "timeout_s": 3600,  "max_tokens": 32768,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v1-qm.session.jsonl ===
  turns=38  wall=1590.1s  in=148058  out=92793  cache_read=2944784  cost=$0.1776
  role reads: qm@t0 -> crew@t0 -> boatswain@t0 -> shipshape@t0
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [21, 34] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2260/285        0 $0.0005  read, read, read, read
    t1   20961/260        0 $0.0031  bash
    t2    1069/230    20864 $0.0010  bash
    t3     829/966    21760 $0.0014  bash
    t4    2222/2191   22528 $0.0024  read, read, read
    t5   30443/848        0 $0.0048  read, read, read
    t6    1545/132    30496 $0.0014  read, read, read
    t7     778/90     32144 $0.0013  read, read
    t8     858/22118  32992 $0.0141  bash
    t9   22054/363    33936 $0.0045  bash
    t10    335/7112   56048 $0.0061  bash
    t11   7042/1114   56416 $0.0036  edit
    t12   1164/496    63456 $0.0027  write
    t13     73/89     65088 $0.0023  write
    t14    142/17526  65152 $0.0125  write
    t15  17327/3084   65296 $0.0065  write
    t16     77/779    85680 $0.0035  write
    t17    804/3792   85776 $0.0053  edit, edit
    t18   3827/291    86608 $0.0037  bash
    t19    293/66     90480 $0.0032  bash
    t20   1193/11199  90816 $0.0098  edit
    t21  11158/2951   92000 $0.0065  edit
    t22   2971/768   103168 $0.0045  edit
    t23    792/79    106160 $0.0039  bash
    t24     95/3056  107008 $0.0055  edit
    t25   2525/1853  107648 $0.0052  write
    t26   1861/53    110160 $0.0041  bash
    t27   3501/906   112048 $0.0049  edit
    t28    614/341   115888 $0.0043  edit
    t29     78/61    116816 $0.0041  bash
    t30    165/940   116928 $0.0047  bash
    t31   1197/356   117072 $0.0045  bash
    t32    447/2831  118368 $0.0058  bash
    t33   2985/1701  118816 $0.0056  bash
    t34   2066/1239  121856 $0.0053  bash
    t35    832/526   124336 $0.0048  bash
    t36    642/779   125168 $0.0049  bash
    t37    833/1322  125808 $0.0053  -
