# banked: 2026-07-29T01:13:53Z
# verdict: PENDING
# leg: {  "name": "v3-qm",  "model": "tencent/hy3",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/R6-cand-hy3/sim",  "timeout_s": 3600,  "max_tokens": 32768,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v3-qm.session.jsonl ===
  turns=19  wall=212.2s  in=99526  out=23939  cache_read=760960  cost=$0.0545
  role reads: qm@t0 -> shipshape@t1 -> boatswain@t13
  roles loaded: boatswain, qm, shipshape
  ~ repeated tool signature at turns [1, 2] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2265/181        0 $0.0004  read, bash
    t1    3949/403     2176 $0.0009  read, read, read, bash
    t2   17986/135        0 $0.0026  read
    t3    8860/1302   17920 $0.0026  read, read, read, read
    t4   33785/733        0 $0.0052  read, read, read
    t5    5454/3743   33920 $0.0041  bash
    t6    3894/8422   39488 $0.0068  edit
    t7    8423/454    43328 $0.0030  bash
    t8     510/88     51712 $0.0019  edit
    t9     133/150    52224 $0.0019  bash
    t10    344/145    52416 $0.0020  bash
    t11    152/208    52800 $0.0020  bash
    t12    400/1626   52864 $0.0028  bash
    t13   2164/282    53248 $0.0023  read
    t14   3342/2196   55360 $0.0037  bash
    t15   4919/1125   58688 $0.0034  bash
    t16   1470/1139   63552 $0.0031  bash
    t17   1219/275    64960 $0.0026  bash
    t18    257/1332   66304 $0.0031  -
