# banked: 2026-07-28T22:04:04Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "xiaomi/mimo-v2.5",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/R6-cand-mimo/sim",  "timeout_s": 3600,  "max_tokens": 32768,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v1-qm.session.jsonl ===
  turns=115  wall=699.6s  in=121193  out=68943  cache_read=7499712  cost=$0.0573
  role reads: qm@t0 -> shipshape@t1 -> crew@t24 -> boatswain@t103
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 2, 27, 34, 37, 50, 54, 58, 63, 64, 65, 80] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    1862/79       512 $0.0003  read
    t1    3244/144     2368 $0.0005  read
    t2   10840/83      5568 $0.0016  read
    t3   19586/154     5568 $0.0028  bash
    t4     251/67     25088 $0.0001  bash
    t5     743/69     25088 $0.0002  bash
    t6     688/185    25792 $0.0002  bash
    t7     702/144    26432 $0.0002  bash
    t8     381/88     27072 $0.0002  bash
    t9    1376/119    27392 $0.0003  bash
    t10    713/124    28736 $0.0002  bash
    t11   1741/89     29440 $0.0004  bash
    t12    404/680    31168 $0.0003  bash
    t13    737/93     31552 $0.0002  bash
    t14    455/146    32256 $0.0002  bash
    t15    320/84     32704 $0.0002  bash
    t16   2536/794    32960 $0.0007  bash
    t17    892/3034   35456 $0.0011  write
    t18   3143/70     36288 $0.0006  bash
    t19    172/67     39424 $0.0002  bash
    t20    168/75     39552 $0.0002  bash
    t21    173/143    39680 $0.0002  bash
    t22    330/115    39680 $0.0002  write
    t23    362/66     39808 $0.0002  bash
    t24   5621/311    40128 $0.0010  read
    t25   2013/196    45696 $0.0005  read
    t26   1005/125    47680 $0.0003  bash
    t27    184/498    48640 $0.0003  bash
    t28    575/872    48768 $0.0005  write
    t29    980/77     49280 $0.0003  bash
    t30    111/1808   50240 $0.0007  write
    t31   1901/71     50304 $0.0004  bash
    t32   1859/386    52160 $0.0005  read
    t33   1056/749    54016 $0.0005  edit
    t34    828/984    55040 $0.0005  edit
    t35   1091/74     55808 $0.0003  bash
    t36    900/692    56896 $0.0005  edit
    t37    742/406    57792 $0.0004  edit
    t38    491/71     58496 $0.0003  bash
    t39    936/990    58944 $0.0006  edit
    t40   1089/75     59840 $0.0003  bash
    t41    161/69     60864 $0.0002  bash
    t42    132/156    60992 $0.0002  edit
    t43    207/71     61120 $0.0002  bash
    t44    112/73     61312 $0.0002  read
    t45    210/239    61376 $0.0003  edit
    t46    304/65     61568 $0.0002  bash
    t47    725/425    61824 $0.0004  edit
    t48    492/80     62528 $0.0003  read
    t49    979/723    62976 $0.0005  edit
    t50    788/245    63936 $0.0004  edit
    t51    312/65     64704 $0.0002  bash
    t52    977/806    64960 $0.0005  edit
    t53    869/922    65920 $0.0006  edit
    t54   1004/201    66752 $0.0004  edit
    t55    290/413    67712 $0.0003  edit
    t56    493/72     67968 $0.0003  bash
    t57   1144/547    68416 $0.0005  edit
    t58    648/195    69504 $0.0003  edit
    t59    248/366    70144 $0.0003  edit
    t60    468/65     70336 $0.0003  bash
    t61   1010/272    70784 $0.0004  bash
    t62    395/124    71744 $0.0003  bash
    t63    149/69     72128 $0.0002  bash
    t64    142/84     72256 $0.0002  bash
    t65    135/72     72384 $0.0002  bash
    t66   1052/889    72512 $0.0006  edit
    t67    962/86     73536 $0.0004  read
    t68    461/276    74432 $0.0004  edit
    t69    335/65     74880 $0.0003  bash
    t70   1005/787    75200 $0.0006  edit
    t71    879/64     76160 $0.0004  bash
    t72    723/168    76992 $0.0004  bash
    t73    381/640    77696 $0.0005  edit
    t74    748/75     78016 $0.0003  bash
    t75    313/510    78720 $0.0004  edit
    t76    612/136    78976 $0.0003  edit
    t77    219/70     79552 $0.0003  bash
    t78    484/282    79552 $0.0004  edit
    t79    364/283    80000 $0.0004  edit
    t80    372/560    80320 $0.0004  edit
    t81    657/492    80640 $0.0005  bash
    t82    585/314    81280 $0.0004  edit
    t83    369/65     81856 $0.0003  bash
    t84    935/333    82176 $0.0005  edit
    t85    418/65     83072 $0.0003  bash
    t86    921/433    83456 $0.0005  edit
    t87    504/65     84352 $0.0003  bash
    t88    942/693    84800 $0.0006  edit
    t89    785/75     85696 $0.0004  bash
    t90    704/1552   86464 $0.0008  edit
    t91   1661/73     87104 $0.0005  bash
    t92    851/489    88704 $0.0005  edit
    t93    554/64     89536 $0.0003  bash
    t94    825/555    90048 $0.0005  bash
    t95    686/740    90816 $0.0006  edit
    t96    832/73     91456 $0.0004  bash
    t97    186/78     92224 $0.0003  read
    t98    326/367    92352 $0.0004  edit
    t99    419/65     92672 $0.0003  bash
    t100    819/528    93056 $0.0005  bash
    t101    653/610    93824 $0.0005  edit
    t102    669/72     94464 $0.0004  bash
    t103    713/351    95104 $0.0005  read
    t104   3373/202    95808 $0.0008  bash
    t105   1325/125    99136 $0.0005  bash
    t106   2202/62     99136 $0.0006  bash
    t107    133/71    101312 $0.0003  bash
    t108    466/75    101312 $0.0004  bash
    t109    231/100   101760 $0.0003  bash
    t110    745/585   101952 $0.0006  bash
    t111    719/71    102656 $0.0004  bash
    t112    554/260   103360 $0.0004  edit
    t113    348/65    103872 $0.0004  bash
    t114    578/32768 104192 $0.0095  -
