# banked: 2026-07-28T23:37:17Z
# verdict: PENDING
# leg: {  "name": "v6-qm",  "model": "xiaomi/mimo-v2.5",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/R6-cand-mimo/sim",  "timeout_s": 3600,  "max_tokens": 32768,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v6-qm.session.jsonl ===
  turns=164  wall=1115.0s  in=202433  out=90405  cache_read=19368192  cost=$0.1079
  role reads: shipshape@t0 -> qm@t0 -> shipshape@t1 -> crew@t2 -> boatswain@t2
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 2, 16, 17, 18, 19, 22, 23, 24, 25, 26, 27, 30, 44, 45, 46, 47, 48, 49, 51, 52, 53, 68, 71, 72, 73, 74, 75, 76, 83, 86, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 105, 109, 111, 114, 132, 142, 143, 145, 146, 150] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    1864/143      512 $0.0003  read, read
    t1   13955/97      2368 $0.0020  read
    t2    8763/195    16320 $0.0013  read, read, bash
    t3    4933/53     25024 $0.0008  bash
    t4     659/137    29952 $0.0002  bash, bash, read
    t5    2034/108    30592 $0.0004  bash, bash
    t6    1795/149    32576 $0.0004  read, read, read
    t7    5811/490    34368 $0.0010  bash
    t8     727/380    40128 $0.0003  bash
    t9     434/117    40832 $0.0002  bash, read
    t10  16919/706    41216 $0.0027  write
    t11    774/229    58112 $0.0003  bash
    t12   1507/1488   58880 $0.0008  bash, read, read, read
    t13   3515/149    60352 $0.0007  read, read, read
    t14   1264/2664   63808 $0.0011  bash
    t15   2754/1653   65024 $0.0010  bash
    t16   1765/481    67712 $0.0006  bash
    t17    595/1616   69440 $0.0007  bash
    t18   1700/613    70016 $0.0006  bash
    t19    681/700    71680 $0.0005  bash
    t20    806/384    72320 $0.0004  bash
    t21    499/411    73088 $0.0004  bash
    t22    499/439    73536 $0.0004  bash
    t23    560/521    73984 $0.0004  bash
    t24    599/453    74496 $0.0004  bash
    t25    499/540    75072 $0.0004  bash
    t26    632/424    75520 $0.0004  bash
    t27    531/584    76096 $0.0005  bash
    t28    673/445    76608 $0.0004  bash
    t29    754/573    77248 $0.0005  bash
    t30    845/4372   77952 $0.0016  bash
    t31   4441/345    78784 $0.0009  bash
    t32    448/89     83200 $0.0003  bash
    t33    231/58     83584 $0.0003  bash
    t34    164/75     83776 $0.0003  bash
    t35    317/380    83904 $0.0004  bash
    t36    645/777    84160 $0.0005  bash
    t37    862/580    84800 $0.0005  bash
    t38    694/102    85632 $0.0004  bash
    t39    910/1152   86272 $0.0007  bash
    t40   1361/99     87168 $0.0005  bash
    t41    311/57     88512 $0.0003  bash
    t42    192/77     88768 $0.0003  bash
    t43    556/1409   88896 $0.0007  bash
    t44   1530/897    89408 $0.0007  bash
    t45   1017/408    90880 $0.0005  bash
    t46    508/492    91840 $0.0005  bash
    t47    598/269    92288 $0.0004  bash
    t48    305/292    92864 $0.0004  bash
    t49    364/501    93120 $0.0005  bash
    t50    631/613    93440 $0.0005  bash
    t51    741/620    94016 $0.0005  bash
    t52    929/807    94720 $0.0006  bash
    t53    874/679    95616 $0.0006  bash
    t54    788/1131   96448 $0.0007  edit
    t55   1195/275    97216 $0.0005  bash
    t56    409/500    98368 $0.0005  bash
    t57    558/1336   98752 $0.0007  edit
    t58   1428/67     99264 $0.0005  bash
    t59    671/543   100672 $0.0005  edit
    t60    620/64    101312 $0.0004  bash
    t61    531/610   101888 $0.0005  bash
    t62    783/284   102400 $0.0005  read
    t63   1899/320   103168 $0.0006  bash
    t64    422/820   105024 $0.0006  bash
    t65    965/111   105408 $0.0005  read
    t66    370/48    106368 $0.0004  bash
    t67    142/79    106688 $0.0003  read
    t68    230/161   106816 $0.0004  read
    t69    329/1263  107008 $0.0007  bash
    t70   1386/967   107328 $0.0008  bash
    t71   1107/677   108672 $0.0006  bash
    t72   1003/421   109760 $0.0006  bash
    t73    485/930   110720 $0.0006  bash
