# banked: 2026-07-26T14:33:28Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "xiaomi/mimo-v2.5",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/methdraw-chain-3/sim",  "timeout_s": 1200,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain"  ]}


=== v1-qm.session.jsonl ===
  turns=53  wall=368.5s  in=75801  out=21074  cache_read=2860352  cost=$0.0245
  role reads: shipshape@t0 -> qm@t0 -> shipshape@t1 -> crew@t2 -> boatswain@t2
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 2, 5, 9, 10, 15, 16, 17, 23, 32, 33] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    1740/158      512 $0.0003  read, read
    t1   14164/85      2240 $0.0020  read
    t2    8774/219    16384 $0.0013  read, read, bash
    t3    6549/900    25152 $0.0012  bash, bash, bash
    t4    3091/107    31680 $0.0006  bash
    t5     521/118    34752 $0.0002  bash
    t6     556/952    35264 $0.0004  bash, bash, bash
    t7    2159/534    35776 $0.0006  bash, bash, bash
    t8    2955/406    37888 $0.0006  bash
    t9    1100/172    40832 $0.0003  bash, bash
    t10    343/323    41920 $0.0003  bash, bash
    t11    528/213    42240 $0.0003  bash, bash
    t12    256/811    42752 $0.0004  write
    t13    922/2362   42944 $0.0009  write
    t14   2438/78     43840 $0.0005  bash
    t15    571/93     46272 $0.0002  bash
    t16    278/372    46784 $0.0003  bash, bash
    t17    414/77     47040 $0.0002  bash
    t18    917/195    47424 $0.0003  read
    t19   2511/946    48320 $0.0008  edit
    t20   1010/73     50816 $0.0003  bash
    t21    204/830    51776 $0.0004  write, write
    t22   1113/201    51776 $0.0004  bash
    t23   1494/341    52864 $0.0005  bash, bash
    t24   4959/418    54336 $0.0010  bash
    t25    463/1901   59264 $0.0008  write
    t26   1962/72     59712 $0.0005  bash
    t27    856/382    61632 $0.0004  bash
    t28    453/98     62464 $0.0003  read
    t29    471/363    62912 $0.0003  edit
    t30    432/78     63360 $0.0003  bash
    t31    171/328    63744 $0.0003  bash
    t32    408/279    63872 $0.0003  bash
    t33    325/414    64256 $0.0003  bash
    t34    530/496    64576 $0.0004  edit
    t35    560/67     65088 $0.0003  bash
    t36    309/604    65600 $0.0004  edit
    t37    705/67     65856 $0.0003  bash
    t38    214/172    66496 $0.0003  bash
    t39    434/453    66688 $0.0004  read
    t40    686/2204   67072 $0.0009  write
    t41   2296/128    67712 $0.0005  bash, bash
    t42    447/137    69952 $0.0003  bash
    t43    921/224    70336 $0.0004  bash
    t44    863/169    71232 $0.0004  bash, bash
    t45    280/217    72064 $0.0003  bash
    t46    929/253    72320 $0.0004  bash
    t47    300/220    73216 $0.0003  bash
    t48    320/73     73472 $0.0003  bash
    t49    182/71     73728 $0.0003  bash
    t50    182/169    73856 $0.0003  bash
    t51    358/65     73984 $0.0003  bash
    t52    177/386    74304 $0.0003  -
