
=== session.jsonl ===
  turns=132  wall=1073.2s  in=470450  out=87504  cache_read=12752384  cost=$0.2998
  role reads: qm@t0 -> shipshape@t0 -> boatswain@t119
  roles loaded: boatswain, qm, shipshape
  ~ repeated tool signature at turns [1, 10, 18, 19, 20, 25, 26, 27, 28, 29, 30, 31, 32, 33, 48, 61, 65, 69, 72, 81, 82, 84, 91, 94, 97, 101, 102, 106, 108, 111, 118] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2327/193        0 $0.0003  read, read
    t1   15949/135      512 $0.0015  read
    t2   25024/277        0 $0.0024  bash
    t3     526/250    24832 $0.0006  read, bash
    t4     585/400    25344 $0.0006  read, read, read, read
    t5   26962/511      256 $0.0026  bash
    t6    3279/418    24576 $0.0008  bash, bash
    t7    2823/575    25856 $0.0009  read, read, read, read
    t8    6498/501    27136 $0.0012  bash
    t9    5500/772    28672 $0.0012  bash
    t10   2643/1120   32768 $0.0011  bash
    t11   1223/573    35328 $0.0009  bash
    t12   1696/383    36352 $0.0009  bash
    t13   4979/352    33536 $0.0012  bash
    t14   2264/182    36864 $0.0009  bash
    t15   1526/586    37888 $0.0010  bash
    t16   6510/2020   38400 $0.0017  bash
    t17  10108/600    36864 $0.0018  bash
    t18   6667/223    40960 $0.0014  bash
    t19    247/140    47616 $0.0009  bash
    t20   1637/252    46848 $0.0011  bash
    t21    420/631    48384 $0.0011  write
    t22   1867/264    47616 $0.0011  bash
    t23    409/161    49408 $0.0010  bash
    t24   1621/924    48640 $0.0012  bash
    t25   1533/127    49664 $0.0011  bash
    t26   1002/278    50944 $0.0011  bash
    t27   3249/151    49152 $0.0013  bash
    t28    386/212    52224 $0.0011  bash
    t29    440/325    52480 $0.0011  bash
    t30   4113/158    49152 $0.0013  bash
    t31    207/204    53248 $0.0011  bash
    t32    938/2164   52736 $0.0015  bash
    t33   3130/390    53248 $0.0014  bash
    t34   3415/1073   53504 $0.0015  bash
    t35   4757/1238   53248 $0.0017  write
    t36   6047/4096   53248 $0.0023  write
    t37   8671/4096   59136 $0.0027  bash
    t38  14616/4096   57344 $0.0032  write
    t39  15247/4096   65536 $0.0034  bash
    t40  15329/4096   69632 $0.0035  bash
    t41   4383/165    84736 $0.0020  bash
    t42   3369/195    86016 $0.0020  read
    t43    331/704    89344 $0.0018  edit
    t44  12608/671    77824 $0.0028  write
    t45   1549/449    89600 $0.0019  bash
    t46   2523/152    89088 $0.0019  bash
    t47   1744/953    90112 $0.0020  bash
    t48   1697/477    91136 $0.0020  bash
    t49   2988/510    90368 $0.0021  edit
    t50    747/108    93184 $0.0018  read
    t51   2592/146    91648 $0.0020  edit
    t52   3059/99     91392 $0.0020  read
    t53   1500/176    94208 $0.0019  edit
    t54    449/209    95488 $0.0019  bash
    t55   2543/296    93696 $0.0021  bash
    t56    552/1269   96000 $0.0021  edit
    t57   3666/175    94208 $0.0021  bash
    t58    498/2747   97792 $0.0024  write
    t59   6877/149    94208 $0.0024  bash
    t60   7267/538    94208 $0.0025  bash
    t61    659/383   101376 $0.0020  bash
    t62   1576/254   100864 $0.0021  read
    t63   1444/779   102400 $0.0022  edit
    t64    996/136   103680 $0.0021  bash
    t65    457/200   104448 $0.0020  bash
    t66    824/361   104704 $0.0021  edit
    t67   7638/139    98304 $0.0026  bash
    t68    373/152   105728 $0.0020  bash
    t69    371/234   105984 $0.0021  bash
    t70   1564/283   105472 $0.0022  read
    t71    626/418   107008 $0.0021  edit
    t72   1865/507   106240 $0.0023  edit
    t73   2169/210   106496 $0.0022  bash
    t74   1803/1444  107520 $0.0025  bash
    t75   2242/273   108544 $0.0023  read
    t76    596/857   110592 $0.0023  edit
    t77   5602/4096  106496 $0.0033  write
    t78  10178/1011  110592 $0.0032  bash
    t79   1228/4039  120576 $0.0031  bash
    t80  15302/207   110592 $0.0035  bash
    t81   3384/208   122880 $0.0027  bash
    t82   4962/187   121600 $0.0028  bash
    t83   4378/873   122880 $0.0029  read
    t84   2083/103   126208 $0.0026  read
    t85    321/198   128256 $0.0025  edit
    t86   2360/174   126464 $0.0026  bash
    t87   2028/541   127232 $0.0027  bash
    t88   1046/172   128768 $0.0025  bash
    t89   1224/306   129024 $0.0026  bash
    t90    519/206   130048 $0.0025  bash
    t91   2351/166   128512 $0.0027  bash
    t92    419/343   130816 $0.0026  bash
    t93   1032/138   130560 $0.0026  bash
    t94    254/161   131584 $0.0025  bash
    t95   1210/491   131072 $0.0027  bash
    t96    691/430   132096 $0.0026  bash
    t97   1739/276   131584 $0.0027  bash
    t98   1499/724   132608 $0.0028  bash
    t99   3772/225   131072 $0.0029  bash
    t100   2366/1539  133120 $0.0030  bash
    t101   2382/326   134656 $0.0028  bash
    t102    417/726   136960 $0.0027  bash
    t103   7044/225   131072 $0.0032  bash
    t104   1542/611   137216 $0.0028  bash
    t105   4228/232   135168 $0.0030  bash
    t106   1679/263   137984 $0.0028  bash
    t107    419/153   139520 $0.0027  bash
    t108   1583/362   138752 $0.0028  bash
    t109   1446/766   139264 $0.0029  bash
    t110   2029/1060  139776 $0.0030  bash
    t111   3832/188   139264 $0.0030  bash
    t112    695/362   142848 $0.0028  bash
    t113   4775/2441  139264 $0.0035  bash
    t114   2705/766   143872 $0.0031  bash
    t115   3996/225   143360 $0.0031  bash
    t116   4547/2417  143360 $0.0036  bash
    t117   3905/226   146432 $0.0032  bash
    t118    465/179   150272 $0.0029  bash
    t119   3796/134   147200 $0.0031  read
    t120   7539/255   147456 $0.0035  bash
    t121   7901/305   147712 $0.0036  bash
    t122   7752/502   154880 $0.0037  read
    t123    659/556   162560 $0.0032  edit
    t124  12272/144   151552 $0.0040  bash
    t125    976/137   163072 $0.0032  bash
    t126    753/215   163840 $0.0032  bash
    t127   5130/139   159744 $0.0035  bash
    t128    180/154   164864 $0.0031  bash
    t129    452/103   164864 $0.0032  bash
    t130   1096/131   164352 $0.0032  bash
    t131   1792/326   163840 $0.0033  -
