# banked: 2026-07-28T07:26:06Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "xiaomi/mimo-v2.5",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/P5-ctrl-cmimo/sim",  "timeout_s": 3600,  "skills": [    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/shipshape",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/qm",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/crew",    "/home/exedev/.claude/plugins/cache/dmytri-shipshape/shipshape/596fbf17be06/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v1-qm.session.jsonl ===
  turns=51  wall=451.1s  in=83714  out=27849  cache_read=2656064  cost=$0.0270
  role reads: shipshape@t0 -> qm@t0 -> shipshape@t1 -> crew@t1 -> boatswain@t1
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 13, 33, 34, 39] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2122/145      512 $0.0003  read, read
    t1   14039/212     2624 $0.0020  read, read, read
    t2   13661/172    16640 $0.0020  bash
    t3    1337/346    30272 $0.0004  bash, bash, bash, bash
    t4    1226/132    31552 $0.0003  bash, bash
    t5     217/115    32768 $0.0002  bash, bash
    t6     581/217    32960 $0.0002  bash
    t7    1172/1720   33536 $0.0007  bash, bash
    t8    3951/1207   34688 $0.0010  bash
    t9    1341/83     38592 $0.0003  bash
    t10    239/569    39872 $0.0003  write
    t11    662/1739   40064 $0.0007  write
    t12   1808/645    40704 $0.0005  write
    t13    709/2176   42496 $0.0008  write
    t14   2230/806    43200 $0.0007  edit
    t15    908/71     45376 $0.0003  bash
    t16    147/84     46272 $0.0002  bash
    t17    463/1911   46400 $0.0007  bash
    t18   2196/461    46848 $0.0006  write
    t19    528/37     49024 $0.0002  bash
    t20    124/568    49536 $0.0003  bash
    t21    697/1183   49600 $0.0006  edit
    t22   1299/60     50240 $0.0003  read
    t23    650/575    51520 $0.0004  write
    t24    633/427    52160 $0.0004  edit
    t25    532/234    52736 $0.0003  bash
    t26    337/175    53248 $0.0002  bash, bash, bash
    t27    387/241    53568 $0.0003  bash, bash, bash, bash
    t28    541/152    53952 $0.0003  bash, bash
    t29    669/1015   54464 $0.0005  edit
    t30   1092/52     55104 $0.0003  bash
    t31    135/154    56192 $0.0002  bash, bash, bash
    t32   1098/1065   56320 $0.0006  edit
    t33   1121/376    57408 $0.0004  edit
    t34    457/224    58496 $0.0003  edit
    t35    281/141    58944 $0.0002  bash, bash, bash
    t36    663/1042   59200 $0.0006  edit
    t37   1111/759    59840 $0.0005  bash
    t38    861/695    60928 $0.0005  bash
    t39    815/172    61760 $0.0003  bash, bash, bash
    t40    469/2272   62528 $0.0009  bash, bash
    t41  15633/1839   62976 $0.0029  edit
    t42   1902/130    78592 $0.0005  bash, bash
    t43    341/99     80448 $0.0003  bash
    t44    216/206    80768 $0.0003  bash
    t45    315/200    80960 $0.0003  bash
    t46    273/233    81216 $0.0003  bash, bash, bash, bash
    t47    708/176    81472 $0.0004  bash
    t48    373/165    82176 $0.0003  bash
    t49    328/49     82496 $0.0003  bash
    t50    116/322    82816 $0.0003  -
