# banked: 2026-07-26T13:23:01Z
# verdict: PENDING
# leg: {  "name": "v1-qm",  "model": "deepseek/deepseek-v4-flash",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/methdraw-c-flash-2/sim",  "timeout_s": 1200,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/qm",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/crew",    "/home/exedev/shipshape-shakedown/experiments/methods-candidate/skills/boatswain"  ]}


=== v1-qm.session.jsonl ===
  turns=127  wall=1114.4s  in=538688  out=89770  cache_read=13539584  cost=$0.3214
  role reads: qm@t0 -> shipshape@t0 -> crew@t28 -> boatswain@t119
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 7, 9, 14, 34, 35, 41, 45, 53, 59, 60, 66, 71, 74, 75, 76, 77, 78, 89, 98, 100, 102, 105, 107, 113, 115, 116, 122, 125] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    2206/197        0 $0.0002  read, read
    t1   16476/133        0 $0.0016  read
    t2    8395/199    16384 $0.0011  bash
    t3    1710/593    24576 $0.0007  read, read, read, read, bash
    t4   29695/449        0 $0.0029  read, bash, bash, bash, bash
    t5   10427/465    24576 $0.0015  read, read, read
    t6    3226/225    34816 $0.0010  bash
    t7   14544/654    28672 $0.0020  bash, read
    t8    1331/402    43008 $0.0010  bash, bash
    t9    8101/260    36864 $0.0015  bash, bash
    t10   9147/1141   36864 $0.0018  write
    t11   2148/4096   45056 $0.0018  write
    t12  15185/4096   40960 $0.0030  write
    t13  15257/133    45056 $0.0023  read
    t14   8339/113    53248 $0.0018  read
    t15    405/349    61440 $0.0013  edit
    t16    555/826    61696 $0.0014  write
    t17   2969/4096   60160 $0.0022  write
    t18   9033/137    62976 $0.0021  read
    t19   2579/125    69632 $0.0016  bash
    t20    157/4096   72192 $0.0021  write
    t21   6867/84     69632 $0.0020  bash
    t22    308/4096   76288 $0.0022  bash
    t23  19279/259    61440 $0.0030  bash
    t24   7655/143    73728 $0.0021  bash
    t25   3740/379    77824 $0.0019  bash
    t26   1335/114    80640 $0.0017  bash
    t27    203/122    81920 $0.0016  bash
    t28   4713/203    77824 $0.0019  read
    t29   2969/556    81408 $0.0019  bash
    t30   3026/2501   81920 $0.0023  write
    t31   5575/144    81920 $0.0021  bash
    t32   1831/911    86016 $0.0020  edit
    t33   6887/284    81920 $0.0022  bash
    t34   3160/370    86016 $0.0020  bash
    t35   3615/128    86016 $0.0020  bash
    t36   4980/1063   86016 $0.0023  edit
    t37   6108/88     86016 $0.0022  read
    t38   1837/767    90880 $0.0020  write
    t39    864/269    92672 $0.0019  bash
    t40   3793/583    90112 $0.0022  edit
    t41   4433/475    90112 $0.0022  edit
    t42    613/120    94464 $0.0019  bash
    t43   5722/2266   90112 $0.0027  edit
    t44   3941/334    94208 $0.0022  read
    t45   4608/128    94208 $0.0022  read
    t46   4268/982    94976 $0.0024  edit
    t47   1983/114    98304 $0.0021  read
    t48    436/412   100096 $0.0020  bash
    t49   2653/103    98304 $0.0021  bash
    t50   2809/529    98304 $0.0022  bash
    t51   3095/113    98560 $0.0022  bash
    t52   4101/1150   98304 $0.0024  bash
    t53   2725/2193  100864 $0.0026  bash
    t54   3432/1142  102400 $0.0025  bash
    t55   4751/236   102400 $0.0024  bash
    t56    610/1135  107008 $0.0023  bash
    t57   1293/1155  107520 $0.0024  bash
    t58   7801/914   102400 $0.0028  bash
    t59   2368/993   108800 $0.0024  bash
    t60   5838/615   106496 $0.0027  bash
    t61   2605/677   110592 $0.0024  bash
    t62   1759/3894  112128 $0.0030  bash
    t63   7202/616   110592 $0.0029  bash
    t64   7831/111   110592 $0.0028  bash
    t65   4483/533   114688 $0.0027  bash
    t66   5078/608   114688 $0.0027  bash
    t67   1393/1116  119040 $0.0026  bash
