# banked: 2026-07-24T16:23:19Z
# verdict: PENDING
# leg: {  "name": "v14-qm",  "model": "deepseek/deepseek-v4-flash",  "provider": "openrouter",  "workspace": ".eval-scratch/todomvc-newsim-01/sim",  "timeout_s": 1500,  "skills": [    "experiments/yoink-settle/skills/shipshape",    "experiments/yoink-settle/skills/qm",    "experiments/yoink-settle/skills/crew",    "experiments/yoink-settle/skills/boatswain",    "/home/exedev/yoink/skills/yoink"  ]}


=== v14-qm.session.jsonl ===
  turns=24  wall=238.0s  in=583530  out=16207  cache_read=822272  cost=$0.0732
  role reads: shipshape@t0 -> qm@t0 -> shipshape@t1 -> crew@t1 -> boatswain@t1
  roles loaded: boatswain, crew, qm, shipshape
  ~ repeated tool signature at turns [1, 6, 12, 14, 15] (possible flail)
  per-turn (turn: in/out/cache $cost  tools):
    t0    1862/193      512 $0.0002  read, read
    t1   14459/271     2048 $0.0014  read, read, read
    t2   30437/299      256 $0.0029  read
    t3   32283/463      512 $0.0031  bash
    t4   18171/370    16384 $0.0021  bash
    t5   36312/840        0 $0.0036  bash
    t6    3446/640    35840 $0.0011  bash
    t7   53126/1774       0 $0.0053  bash
    t8   22838/561    32768 $0.0029  read
    t9    8445/1469   55552 $0.0021  edit
    t10   4068/219    61440 $0.0016  bash
    t11  66036/1500     256 $0.0065  edit
    t12  67836/2203       0 $0.0068  edit
    t13   8638/195    61440 $0.0020  bash
    t14  70751/949        0 $0.0068  bash
    t15   2145/188    70656 $0.0016  bash
    t16  40652/808    32768 $0.0046  bash
    t17   7347/1586   69632 $0.0023  bash
    t18   1778/252    76800 $0.0017  bash
    t19  78863/204        0 $0.0074  bash
    t20   1149/160    78336 $0.0016  bash
    t21   1834/299    77824 $0.0017  bash
    t22    395/100    79616 $0.0015  bash
    t23  10659/664    69632 $0.0024  -
