# banked: 2026-07-25T23:27:33Z
# verdict: PENDING
# leg: {  "name": "v2-captain",  "model": "qwen/qwen3.7-max",  "provider": "openrouter",  "workspace": "/home/exedev/shipshape-shakedown/.eval-scratch/todomvc-qmax/sim",  "timeout_s": 1500,  "skills": [    "/home/exedev/shipshape-shakedown/experiments/yoink-settle/skills/shipshape",    "/home/exedev/shipshape-shakedown/experiments/yoink-settle/skills/captain"  ]}


=== v2-captain.session.jsonl ===
  turns=15  wall=195.9s  in=79235  out=10076  cache_read=305792  cost=$0.2517
  role reads: captain@t0 -> shipshape@t6
  roles loaded: captain, shipshape
  per-turn (turn: in/out/cache $cost  tools):
    t0    2234/231        0 $0.0043  read, bash
    t1    9269/195     2048 $0.0151  bash, read, read
    t2    1588/271    10496 $0.0066  read, read, read, read, read
    t3    7481/265    10496 $0.0153  read, read, read, read, read
    t4    3509/115    16896 $0.0107  read, read
    t5    5407/1590   18944 $0.0206  bash
    t6    2788/2608   23168 $0.0225  read
    t7    5041/2246   25344 $0.0249  write
    t8   32677/379        0 $0.0499  write
    t9    1487/738    31616 $0.0148  edit
    t10   2274/276    31616 $0.0139  read
    t11    890/236    33792 $0.0123  write
    t12   1172/240    33792 $0.0128  bash, bash
    t13   1606/108    33792 $0.0128  bash
    t14   1812/578    33792 $0.0152  -
